clone,AI
S0045M,NA
S005QE,0.6419
S005QF,0.4353
S005QJ,0.653966667
S005QK,NA
S005QL,0.5409
S005QM,0.4089
S005QN,0.6269
S005QP,0.449733333
S005QQ,0.566533333
S005QR,0.601733333
S005QT,0.411966667
S005QV,0.480433333
S005QW,0.554366667
S005QX,0.554366667
S005QY,0.422733333
S005R0,0.4204
S005R2,0.614133333
S005R6,0.520733333
S005R8,0.649266667
S005R9,0.411966667
S005RA,0.601733333
S005RC,0.601733333
S005RE,0.5496
S005RF,0.432066667
S005RH,0.436966667
S005RJ,0.454933333
S005RK,0.507533333
S005RL,0.4285
S005RM,0.698
S005RN,0.462533333
S005RP,0.462533333
S005RQ,0.480433333
S005RT,0.480433333
S005RU,0.653966667
S005RV,0.649466667
S005RX,0.579466667
S005RY,0.397066667
S005T0,0.397066667
S005T1,0.480433333
S005T2,0.455066667
S005T3,0.446
S005T4,0.548966667
S005T6,0.5321
S005T7,0.397066667
S005T9,0.4048
S005TA,0.4048
S005TC,0.462533333
S005TE,0.4089
S005TF,0.5321
S005TH,0.4353
S005TJ,0.421433333
S005TK,0.657133333
S005TL,0.617866667
S005TM,0.617866667
S005TN,0.6163
S005TP,0.6211
S005TQ,0.6211
S005TR,0.6211
S005TT,0.453066667
S005TU,0.453066667
S005TV,0.436966667
S005TW,0.6833
S005TX,0.590766667
S005TY,0.625966667
S005U0,0.629833333
S005U1,0.643533333
S005U2,0.6468
S005U3,0.6468
S005U4,0.544233333
S005U5,0.630033333
S005U6,0.625633333
S005U7,0.6355
S005U8,0.643533333
S005U9,0.632
S005UA,0.563866667
S005UC,0.628166667
S005UF,0.544366667
S005UJ,0.353166667
S005UK,0.353166667
S005UM,0.3767
S005UN,0.3767
S005UP,0.635133333
S005V3,0.447133333
S005V4,0.447133333
S005V5,0.479666667
S005V6,0.6205
S005V7,0.6359
S005V8,0.479666667
S005VA,0.469366667
S005VC,0.649466667
S005VE,0.6183
S005VH,0.409833333
S005VJ,0.463166667
S005VK,0.548966667
S005VL,0.626733333
S005VM,0.4785
S005VQ,0.436533333
S005VR,0.397066667
S005VV,0.455066667
S005VW,0.508866667
S005VX,0.447133333
S005W0,0.446
S005W1,0.508866667
S005W2,0.381466667
S005W4,0.562933333
S005W5,0.562933333
S005W6,0.4862
S005W7,0.4862
S005WA,0.577533333
S005WF,0.562933333
S005WH,0.4862
S005WJ,0.411966667
S005WK,0.436966667
S005WL,0.5555
S005WM,0.5555
S005WN,0.5555
S005WP,0.5555
S005WT,0.5555
S005WU,0.552033333
S005WV,0.552033333
S005WW,0.552033333
S005X0,0.552033333
S005X1,0.552033333
S005X2,0.562333333
S005X3,0.562333333
S005X4,0.562333333
S005X5,0.562333333
S005X8,0.5605
S005X9,0.5605
S005XA,0.5605
S005XC,0.5605
S005XE,0.5605
S005XH,0.5605
S005XJ,0.5605
S005XL,0.606466667
S005XN,0.606466667
S005XQ,0.606466667
S005XR,0.606466667
S005XU,0.591333333
S005XV,0.591333333
S005XW,0.591333333
S005XY,0.591333333
S005Y1,0.5867
S005Y2,0.5867
S005Y4,0.5867
S005Y5,0.5867
S005Y6,0.5656
S005Y7,0.5656
S005Y8,0.5656
S005YA,NA
S005YC,0.5656
S005YE,0.5656
S005YH,NA
S005YJ,NA
S005YK,NA
S005YL,0.367666667
S005YM,0.367666667
S005YN,0.367666667
S005YQ,0.367666667
S005YR,0.367666667
S005YT,0.367666667
S005YU,0.349033333
S005YV,0.349033333
S005YW,0.349033333
S005YX,0.349033333
S005YY,0.349033333
S00600,0.349033333
S00601,0.349033333
S00602,0.349033333
S00603,0.3195
S00604,0.3195
S00605,0.3195
S00606,0.3195
S00607,0.3195
S00608,0.3195
S00609,0.3195
S0060A,0.3195
S0060C,0.4029
S0060E,0.4029
S0060F,0.4029
S0060H,0.4029
S0060J,0.4029
S0060L,0.4029
S0060N,NA
S0060Q,NA
S0060R,NA
S0060T,0.479666667
S0060V,NA
S0060W,NA
S0060X,0.508866667
S0060Y,0.548966667
S00611,NA
S00612,0.4266
S00613,NA
S00614,NA
S00615,NA
S00616,NA
S00618,NA
S0061A,NA
S0061C,NA
S0061E,NA
S0061F,NA
S0061H,NA
S0061J,NA
S0061K,NA
S0061L,NA
S0061M,NA
S0061N,NA
S0061Q,NA
S0061R,NA
S0061T,NA
S0061U,NA
S0061V,NA
S0061W,NA
S0061X,NA
S0061Y,NA
S00620,NA
S00621,NA
S00622,NA
S00626,NA
S00627,NA
S00628,NA
S00629,NA
S0062C,NA
S0062E,NA
S0062F,NA
S0062H,NA
S0062J,NA
S0062L,NA
S0062M,NA
S0062P,NA
S0062Q,NA
S0062R,NA
S0062T,NA
S0062U,NA
S0062V,0.412433333
