taxa,order,PC1,PC2,PC3,lat,long,state,K2,K3,species,K2_ext,K3_ext,K3_ext_species,wild_vs_breeding
S005WL,1,-44.215786,7.6643367,-12.419902,38.93311,-95.2152,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WM,2,-45.219994,9.428135,-15.9305935,38.93311,-95.2152,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WN,3,-50.69861,9.7522135,-14.542462,38.93311,-95.2152,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WP,4,-37.660927,8.237912,-14.228277,38.93311,-95.2152,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WQ,5,-43.575382,8.383888,-10.240214,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
C1.21,6,-48.438942,11.179513,-17.365791,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005WT,7,-39.31712,5.8430576,-9.5349865,38.93311,-95.2152,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WU,8,48.64709,-9.772055,-30.660704,38.98974,-94.7989,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WV,9,44.579216,-7.0185523,-31.778206,38.98974,-94.7989,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WW,10,30.873455,-10.297375,-12.284792,38.98974,-94.7989,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
C2.18,11,44.804382,-8.770981,-32.025555,NA,NA,KS,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
C2.21,12,44.37711,-7.3242626,-32.2284,NA,NA,KS,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005WY,13,44.88693,-7.910767,-35.244534,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005X0,14,42.86446,-7.5348086,-30.31536,38.98974,-94.7989,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005X1,15,33.320606,-11.179041,-17.370968,38.98974,-94.7989,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
C3.04,16,47.43746,26.760113,4.699144,NA,NA,KS,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005X2,17,45.852924,-6.4383507,-32.702644,38.91733,-94.9745,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005X3,18,13.135693,-0.5040032,-28.278807,38.91733,-94.9745,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005X4,19,46.80573,-10.281106,-33.35136,38.91733,-94.9745,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005X5,20,32.72605,-12.975549,-14.078757,38.91733,-94.9745,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
C3.18,21,40.321304,-8.758638,-26.36373,NA,NA,KS,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005X6,22,39.85142,-9.1375265,-25.96145,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005X7,23,34.34828,-6.951428,-18.099583,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005X8,24,43.402847,-10.482707,-26.176262,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005X9,25,43.883392,-10.912468,-22.752954,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005XA,26,40.85731,-5.8666267,-25.931366,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005XC,27,44.797516,-8.796895,-26.903355,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005XE,28,44.71281,-7.8533216,-27.743914,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005XH,29,36.426006,-10.956476,-16.945559,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005XJ,30,37.41657,-7.2910466,-17.53587,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005XK,31,44.030502,21.707735,12.3365755,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005XL,32,45.28958,24.489122,9.327352,40.46103,-87.9242,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005XM,33,37.53222,19.899378,12.370105,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005XN,34,36.086594,15.1071415,13.077059,40.46103,-87.9242,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005XP,35,47.06985,27.032576,7.533728,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005XQ,36,46.215,27.28252,7.01857,40.46103,-87.9242,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005XR,37,22.308058,25.98671,3.5118034,40.46103,-87.9242,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
E1.87,38,46.4738,24.048424,9.847767,NA,NA,IL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
E2.63,39,43.97381,23.242266,6.5220814,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
E2.64,40,49.716427,27.728825,4.630951,NA,NA,IL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005XU,41,47.576836,28.113224,5.696445,40.44508,-88.0973,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005XV,42,52.80395,27.760502,4.032759,40.44508,-88.0973,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005XW,43,50.94242,29.042145,2.4359086,40.44508,-88.0973,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
E2.81,44,47.10541,26.160505,3.8917265,NA,NA,IL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005XY,45,-1.4214181,15.176854,4.405947,40.44508,-88.0973,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
E3.16,46,49.251728,25.35103,4.5393825,NA,NA,IL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
