Taxa,Ecotype,State
S005WL,2,KS
S005WM,2,KS
S005WN,2,KS
S005WP,2,KS
S005WQ,3,NA
C1.21,3,NA
S005WT,2,KS
S005WU,2,KS
S005WV,2,KS
S005WW,2,KS
C2.18,3,NA
C2.21,3,NA
S005WY,3,NA
S005X0,2,KS
S005X1,2,KS
C3.04,3,NA
S005X2,2,KS
S005X3,2,KS
S005X4,2,KS
S005X5,2,KS
C3.18,3,NA
S005X6,3,NA
S005X7,3,NA
S005X8,2,KS
S005X9,2,KS
S005XA,2,KS
S005XC,2,KS
S005XE,2,KS
S005XH,2,KS
S005XJ,2,KS
S005XK,3,NA
S005XL,1,IL
S005XM,3,NA
S005XN,1,IL
S005XP,3,NA
S005XQ,1,IL
S005XR,1,IL
E1.87,3,NA
E2.63,3,NA
E2.64,3,NA
S005XU,1,IL
S005XV,1,IL
S005XW,1,IL
E2.81,3,NA
S005XY,1,IL
E3.16,3,NA
S005Y1,1,IL
S005Y2,1,IL
S005Y4,1,IL
S005Y5,1,IL
S005Y6,1,IL
S005Y7,1,IL
S005Y8,1,IL
S005Y9,3,NA
S005YA,3,NA
S005YC,1,IL
S005YE,1,IL
S005YF,3,NA
S005YH,3,elite_genet
S005YJ,1,elite_genet
S005YK,3,elite_genet
S005YL,2,KS
S005YM,2,KS
S005YN,2,KS
S005YP,3,NA
S005YQ,2,KS
S005YR,2,KS
S005YT,2,KS
S005YU,2,KS
S005YV,2,KS
S005YW,2,KS
S005YX,2,KS
S005YY,2,KS
S00600,2,KS
S00601,2,KS
S00602,2,KS
S00603,2,KS
S00604,2,KS
S00605,2,KS
S00606,2,KS
S00607,2,KS
S00608,2,KS
S00609,2,KS
S0060A,2,KS
S0060C,2,KS
S0060E,2,KS
S0060F,2,KS
S0060H,2,KS
S0060J,2,KS
S0060L,2,KS
W4.14,3,NA
S005QF,1,AR
S005QN,1,IA
S005QP,2,OK
S005QT,2,TX
S005QW,1,MS
S005QX,1,MS
S005QY,2,OK
S005RA,1,IA
S005RC,1,IA
S005RK,1,MS
S005RL,2,OK
S005RM,1,IA
S005RN,2,OK
S005RQ,2,OK
S005RU,1,WI
S005RV,1,WI
S005RY,2,OK
S005T1,2,OK
S005T4,1,MO
S005T9,2,OK
S005TA,2,OK
S005TC,2,OK
S005TE,2,OK
S005TJ,2,OK
S005TN,1,IA
S005TU,1,AR
S005TY,1,IA
S005U2,1,IL
S005U3,1,IL
S005U4,1,MO
S005U7,1,IA
S005U9,1,IA
S005UA,2,KS
S005UF,1,MO
S005UK,2,TX
S005UM,2,TX
S005UN,2,TX
S005V3,2,NE
S005V6,1,IA
S005VC,1,WI
S005VE,1,IA
S005VH,2,OK
S005VJ,2,OK
S005VK,1,MO
S005VL,1,IA
S005VM,2,NE
S005VQ,2,OK
S005VR,2,OK
S005W0,2,NA
S005W1,3,NA
S005W2,2,TX
S005W4,1,KY
S005W5,1,KY
S005WJ,2,TX
S0060N,3,NA
S0060R,3,NA
S0060V,3,NA
S0060X,2,NA
S0060Y,1,NA
S00611,3,Bad_Astra
S00612,3,1JHW (NE)
S00613,3,3ZZP
S00616,3,NA
S00618,3,NA
S0061C,3,NA
S0061E,3,NA
S0061F,3,NA
S0061J,3,NA
S0061K,3,NA
S0061M,3,NA
S0061N,3,NA
S0061R,3,NA
S0061T,3,NA
S0061V,3,NA
S0061W,3,NA
S00621,3,NA
S00622,3,NA
S00626,3,NA
S0062C,3,NA
S0062H,3,NA
S0062J,3,NA
S0062L,3,NA
S0062T,3,NA
S0062U,3,NA
S0045M,3,NA
S005QE,1,IA
S005QJ,1,WI
S005QK,3,NA
S005QL,1,MS
S005QM,2,OK
S005QQ,1,MS
S005QR,1,IA
S005QV,2,OK
S005R0,2,KS
S005R2,1,IA
S005R6,1,MS
S005R8,1,IA
S005R9,2,TX
S005RE,1,MS
S005RF,2,OK
S005RH,2,OK
S005RJ,2,KS
S005RP,2,OK
S005RT,2,OK
S005RX,1,MS
S005T0,2,OK
S005T2,2,OK
S005T3,2,NE
S005T6,1,MS
S005T7,2,OK
S005TF,1,MS
S005TH,1,AR
S005TK,1,IA
S005TL,1,IA
S005TM,1,IA
S005TP,1,IA
S005TQ,1,IA
S005TR,1,IA
S005TT,1,AR
S005TV,2,OK
S005TW,1,IA
S005TX,1,IL
S005U0,1,IA
S005U1,1,IL
S005U5,1,IA
S005U6,1,IA
S005U8,1,IL
S005UC,1,IA
S005UJ,2,TX
S005UP,1,IA
S005V4,2,NE
S005V5,2,NE
S005V7,1,IA
S005V8,2,NE
S005VA,2,OK
S005VV,2,NA
S005VW,3,NA
S005VX,3,NA
S005W6,1,MO
S005W7,1,MO
S005WA,2,TX
S005WF,1,KY
S005WH,1,MO
S005WK,2,OK
S0060Q,3,NA
S0060T,3,NA
S0060W,3,NA
S00614,3,NA
S00615,3,NA
S0061A,3,NA
S0061H,3,NA
S0061L,3,NA
S0061Q,3,NA
S0061U,3,NA
S0061X,3,NA
S0061Y,3,NA
S00620,3,NA
S00627,3,NA
S00628,3,NA
S00629,3,NA
S0062E,3,NA
S0062F,3,NA
S0062M,3,NA
S0062P,3,NA
S0062Q,3,NA
S0062R,3,NA
S0062V,2,NE
