clone	lat	long
S005WL	38.93311	-95.2152
S005WM	38.93311	-95.2152
S005WN	38.93311	-95.2152
S005WP	38.93311	-95.2152
S005WT	38.93311	-95.2152
S005WU	38.98974	-94.7989
S005WV	38.98974	-94.7989
S005WW	38.98974	-94.7989
S005X0	38.98974	-94.7989
S005X1	38.98974	-94.7989
S005X2	38.91733	-94.9745
S005X3	38.91733	-94.9745
S005X4	38.91733	-94.9745
S005X5	38.91733	-94.9745
S005X8	38.96836	-95.0102
S005X9	38.96836	-95.0102
S005XA	38.96836	-95.0102
S005XC	38.96836	-95.0102
S005XE	38.96836	-95.0102
S005XH	38.96836	-95.0102
S005XJ	38.96836	-95.0102
S005XL	40.46103	-87.9242
S005XN	40.46103	-87.9242
S005XQ	40.46103	-87.9242
S005XR	40.46103	-87.9242
S005XU	40.44508	-88.0973
S005XV	40.44508	-88.0973
S005XW	40.44508	-88.0973
S005XY	40.44508	-88.0973
S005Y1	40.52732	-88.0765
S005Y2	40.52732	-88.0765
S005Y4	40.52732	-88.0765
S005Y5	40.52732	-88.0765
S005Y6	40.7467	-88.6143
S005Y7	40.7467	-88.6143
S005Y8	40.7467	-88.6143
S005YC	40.7467	-88.6143
S005YE	40.7467	-88.6143
S005YL	38.95086	-98.151
S005YM	38.95086	-98.151
S005YN	38.95086	-98.151
S005YQ	38.95086	-98.151
S005YR	38.95086	-98.151
S005YT	38.95086	-98.151
S005YU	39.06678	-98.5651
S005YV	39.06678	-98.5651
S005YW	39.06678	-98.5651
S005YX	39.06678	-98.5651
S005YY	39.06678	-98.5651
S00600	39.06678	-98.5651
S00601	39.06678	-98.5651
S00602	39.06678	-98.5651
S00603	39.40158	-99.2865
S00604	39.40158	-99.2865
S00605	39.40158	-99.2865
S00606	39.40158	-99.2865
S00607	39.40158	-99.2865
S00608	39.40158	-99.2865
S00609	39.40158	-99.2865
S0060A	39.40158	-99.2865
S0060C	38.69626	-97.6129
S0060E	38.69626	-97.6129
S0060F	38.69626	-97.6129
S0060H	38.69626	-97.6129
S0060J	38.69626	-97.6129
S0060L	38.69626	-97.6129
S005QN	41.53954	-94.1562387
S005QP	36.69925	-95.5084
S005QW	33.51464	-89.1322
S005QX	33.51464	-89.1322
S005QY	36.86197	-96.4204
S005RA	41.25269	-94.9856
S005RC	41.25269	-94.9856
S005RK	34.94511	-90.0169
S005RL	36.72808	-95.8743
S005RM	42.54858	-91.7571799
S005RN	36.66453	-95.3068
S005RU	43.55811	-89.6843
S005RV	43.56176	-89.6557
S005T4	37.29903	-94.4164
S005TC	36.66453	-95.3068
S005TJ	36.84464	-96.4273
S005TN	41.04884	-94.1002177
S005TU	36.27336	-91.3548
S005TY	40.60216	-92.8004332
S005U2	42.20144	-89.1731
S005U4	37.91557	-93.9818
S005U7	40.93512	-92.8024906
S005U9	40.86305	-92.8968331
S005UA	37.96318	-94.705
S005UF	37.91737	-94.0036
S005V3	41.62292	-97.9353
S005V6	41.49604	-94.0608076
S005VC	43.56176	-89.6557
S005VE	40.9771	-94.1764724
S005VK	37.29903	-94.4164
S005VL	41.02281	-92.878611
S005VM	42.14294	-96.3855
S005W0	41.405	-97.7092
S005W1	39.1061	-96.5993
S005W4	36.79122	-87.4569
S005W5	36.79122	-87.4569
S0060X	39.1061	-96.5993
S0060Y	37.29903	-94.4164
S005QE	41.96783	-90.3832042
S005QJ	43.55811	-89.6843
S005QL	33.59772	-88.8122
S005QQ	34.34467	-89.7259
S005QR	41.25269	-94.9856
S005R0	38.47769	-97.4689
S005R2	41.22718	-93.5677327
S005R6	32.48381	-90.0997
S005R8	41.60749	-91.74554
S005RE	33.34633	-89.7495
S005RF	36.72819	-95.823
S005RH	36.71372	-95.7128
S005RJ	38.68219	-97.1669
S005RP	36.66453	-95.3068
S005RX	33.27442	-89.2962
S005T3	41.405	-97.7092
S005T6	33.70853	-89.7683
S005TF	33.70853	-89.7683
S005TH	36.12867	-91.1576
S005TK	42.04191	-93.7278984
S005TL	41.11348	-93.9566582
S005TM	41.11348	-93.9566582
S005TP	41.57353	-94.4907
S005TQ	41.57353	-94.4907
S005TR	41.57353	-94.4907
S005TT	36.27336	-91.3548
S005TV	36.71372	-95.7128
S005TW	42.44837	-93.0517159
S005TX	41.7286	-88.11756
S005U0	40.6166	-92.838458
S005U1	42.11257	-89.2608
S005U5	40.93493	-92.7638979
S005U6	40.80523	-92.8204025
S005U8	42.11257	-89.2608
S005UC	40.83406	-92.9159244
S005UP	40.64499	-93.1827744
S005V4	41.62292	-97.9353
S005V5	42.08789	-96.3279
S005V7	41.55366	-91.1932217
S005V8	42.08789	-96.3279
S005VV	36.695	-95.3765
S005VW	39.1061	-96.5993
S005VX	41.62292	-97.9353
S005W6	38.46611	-90.8217
S005W7	38.46611	-90.8217
S005WF	36.79122	-87.4569
S005WH	38.46603	-90.8216
S005WK	36.71372	-95.7128
S0060T	42.08789	-96.3279
S0062V	42.41286	-97.223
S005UJ	30.55917	-96.2375
S005QF	36.12867	-91.1576
