Taxa	ray_floret_count_al25	ray_floret_count_comb	ray_floret_count_ks24	ray_floret_count_ks25
S00467	37	46.21470123	56	NA
S005QE	17.5	18.01898485	19	20.1255979
S005QF	18	19.52767682	23	21.6255979
S005QJ	11.5	12.05962022	13	13.04116065
S005QK	28	29.1266576	32.02975399	32.33481354
S005QL	14	10.04541069	NA	10.20984509
S005QM	30	26.54373757	NA	27.25828729
S005QN	NA	15.88700525	16	19.90678995
S005QP	25.75	23.02437548	25.34325133	24.82580165
S005QQ	23	21.40315337	21.02975399	21.22788073
S005QR	19	19.78302814	19.97024601	24.48220475
S005QT	NA	17.21811023	NA	17.31343067
S005QV	15	17.91881749	23.02975399	NA
S005QW	14.5	14.11349994	15	13.90678995
S005QX	23	21.36140146	NA	NA
S005QY	29.5	23.69333581	29.97024601	30.31343067
S005R0	20.33333333	22.74669162	26.25	25.88499495
S005R1	NA	23.35308583	28.02975399	22.90632199
S005R2	15.5	13.93814253	13	18.02797726
S005R3	NA	NA	NA	NA
S005R5	NA	16.42091104	18.02975399	18.90632199
S005R6	NA	16.22541038	19.5	17.05679257
S005R7	NA	28.00189417	30.02975399	30.10987633
S005R8	15	15.92300564	15	18.02386185
S005R9	19	25.94915752	45.02975399	18.16260107
S005RA	22.5	22.73050655	21.97024601	21.65097883
S005RC	35	31.81749149	30	31.10987633
S005RE	23.5	20.22110891	17.5	24.23801587
S005RF	30.25	28.62301077	29.5	30.54956031
S005RH	22.5	19.62618373	14.97024601	23.09667213
S005RJ	34	30.48724421	28.75	33.91335107
S005RK	20.5	20.234627	23.02975399	22.09667213
S005RL	22	20.70674573	20.02975399	25.1255979
S005RM	17	16.7282612	15	17.17170077
S005RN	19	17.16279212	15.5	17.90223748
S005RP	13.5	14.331707	15	14.90632199
S005RQ	19.5	18.87140872	20.5	19.46714962
S005RR	16	15.21097624	16.02975399	18.17331778
S005RT	15	16.92269411	NA	NA
S005RU	13	11.17223728	12.34325133	12.78531511
S005RV	17	14.03425852	13.5	12.79874568
S005RX	16	15.54017011	15	17.90678995
S005RY	26	24.02367609	26.02975399	NA
S005T0	13	15.91174538	NA	NA
S005T1	19.5	19.48891007	20	21.4156431
S005T2	22.66666667	24.08573542	23.5	34.17331778
S005T3	22.66666667	21.0447043	20	24.9113398
S005T4	24	20.43470977	18.5	23.31343067
S005T6	19.5	16.04347745	16	17.4113398
S005T7	17.5	15.94788688	NA	17.4156431
S005T9	21	16.7259719	NA	15.4156431
S005TA	27.5	21.91627321	23.5	24.73801587
S005TC	13	14.52907393	16.5	18.05679257
S005TE	25	25.37658236	32.02975399	25.09528916
S005TF	24	20.61109094	18	23.28702227
S005TH	27	22.29423243	21.5	24.22936152
S005TJ	21.66666667	23.36502902	27	26.71601738
S005TK	17	20.52792874	24.02975399	25.17170077
