taxa,order,lat,long,state,K2,K3,species,K2_ext,K3_ext,K3_ext_species,wild_vs_breeding
S005WL,1,38.93311,-95.2152,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WM,2,38.93311,-95.2152,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WN,3,38.93311,-95.2152,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WP,4,38.93311,-95.2152,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WQ,5,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
C1.21,6,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005WT,7,38.93311,-95.2152,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WU,8,38.98974,-94.7989,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WV,9,38.98974,-94.7989,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WW,10,38.98974,-94.7989,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
C2.18,11,N_A,N_A,KS,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
C2.21,12,N_A,N_A,KS,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005WY,13,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005X0,14,38.98974,-94.7989,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005X1,15,38.98974,-94.7989,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
C3.04,16,N_A,N_A,KS,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005X2,17,38.91733,-94.9745,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005X3,18,38.91733,-94.9745,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005X4,19,38.91733,-94.9745,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005X5,20,38.91733,-94.9745,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
C3.18,21,N_A,N_A,KS,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005X6,22,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005X7,23,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005X8,24,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005X9,25,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005XA,26,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005XC,27,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005XE,28,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005XH,29,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005XJ,30,38.96836,-95.0102,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
