clone	lat	long
S005QF	36.12867	-91.1576
S005QM	35.54856	-95.9514
S005QT	33.69922	-95.6473
S005QV	34.77003	-94.6445
S005R9	33.69922	-95.6473
S005RQ	34.77003	-94.6445
S005RR	34.77003	-94.6445
S005RT	34.77003	-94.6445
S005RY	35.26778	-95.8253
S005T0	35.26778	-95.8253
S005T1	34.77003	-94.6445
S005T7	35.26778	-95.8253
S005T9	35.26906	-95.922
S005TA	35.26906	-95.922
S005TE	35.54856	-95.9514
S005UJ	30.55917	-96.2375
S005UK	30.55917	-96.2375
S005UM	30.54	-96.04027778
S005UN	30.54	-96.04027778
S005VH	35.48981	-95.6183
S005VQ	35.25375	-95.1894
S005VR	35.26778	-95.8253
S005W2	30.39889	-96.0903
S005WA	30.02985	-95.255
S005WJ	33.69922	-95.6473
S005VA	36.58919	-95.2205
S005T2	36.695	-95.3765
S005VJ	36.24761	-95.3364
