SNP_model_trait_env,p.value_full_population,p.value_S.integrifolium_genets,p.value_wild_genets,p.value_breeding_genets
Chr01_1030878591.BLINK.sm_comb,3.16191E-09,0.000931725,7.91754E-05,1
Chr01_1030878591.FarmCPU.sm_comb,5.49901E-10,0.000937898,7.96915E-05,1
Chr01_1168388528.BLINK.ray_floret_count_ks25,3.91152E-10,2.56518E-08,0.707051996,0.15748652
Chr01_1205510446.BLINK.snh_al25,2.49032E-10,0.007854816,0.000696453,0.002440183
Chr01_1477798644.BLINK.sm_al24,1.11811E-21,0.43804119,3.57472E-06,1
Chr01_1571847442.BLINK.sm_comb,4.60343E-09,0.144183056,0.000475952,0.017675453
Chr01_1583902655.BLINK.ray_floret_count_comb,5.53862E-09,3.61259E-10,0.19560875,0.840274249
Chr01_1583902655.BLINK.ray_floret_count_ks24,1.8178E-15,0.021117879,0.674126826,0.009131438
Chr01_1583902655.FarmCPU.rd_al25,3.84037E-10,0.037095957,0.110348846,0.008779596
Chr01_1583902655.BLINK.snh_ks25,2.28687E-08,0.470428552,0.23716083,0.190380042
Chr01_1583902655.FarmCPU.snh_ks25,4.86223E-08,0.000233689,0.026186817,0.000427479
Chr01_1583902655.FarmCPU.ray_floret_count_comb,3.98176E-08,8.27133E-12,0.969627214,0.755305196
Chr01_1584149518.FarmCPU.rd_ks25,7.27355E-10,0.817676568,0.245606418,0.173096431
Chr01_1677500994.FarmCPU.ray_floret_count_al24,6.48856E-10,0.232102137,1,0.000165093
Chr01_1685558314.FarmCPU.ray_floret_count_ks24,5.82246E-11,0.256917784,1,0.168473086
Chr01_347199779.BLINK.hit_og,1.06571E-07,0.35140893,1.06571E-07,NA
Chr01_420787972.FarmCPU.snh_ks25,1.25449E-10,2.03181E-11,0.764601281,0.860093502
Chr01_695173749.BLINK.ray_floret_count_comb,4.22848E-10,0.059973231,0.534251933,0.729802325
Chr01_695173749.FarmCPU.snh_al25,4.17964E-12,1.70844E-33,0.385391426,0.562684785
Chr01_695173749.FarmCPU.ray_floret_count_comb,9.81729E-14,0.854282284,0.407186398,0.07828896
Chr01_81403261.FarmCPU.sm_comb,1.58959E-08,0.009552967,6.18948E-05,0.025896193
Chr01_853140105.FarmCPU.ray_floret_count_comb,1.51735E-13,0.055288984,0.112884557,0.660971661
Chr01_863723623.BLINK.sm_ks24,5.43393E-12,0.488978457,0.000592857,1
Chr01_930074952.FarmCPU.hit_og,1.91193E-10,0.000879274,1.91193E-10,NA
Chr02_10886302.FarmCPU.rd_al25,3.76446E-08,0.001224383,0.822512262,0.195716634
Chr02_1160355565.BLINK.rd_comb,4.93281E-10,0.022293709,0.000166394,0.070840257
Chr02_1160355565.FarmCPU.rd_comb,2.61733E-13,0.024414431,0.000167257,0.087529335
Chr02_1218052207.FarmCPU.snh_al25,1.32813E-14,0.305753326,0.039744028,0.795904347
Chr02_185928389.FarmCPU.sm_comb,1.10002E-07,0.017765093,0.022002422,0.655164446
Chr02_235811435.FarmCPU.ray_floret_count_ks24,1.08267E-07,0.006432031,0.259593024,0.613776717
Chr02_29844861.BLINK.ray_floret_count_ks25,1.33965E-20,0.034337742,0.098643895,0.041211684
Chr02_8270811.BLINK.hit_og,1.66072E-11,6.26352E-13,1.66071E-11,NA
Chr02_892024560.FarmCPU.ai_summer_mean,1.23071E-08,0.078607125,1.23071E-08,NA
Chr02_943391404.FarmCPU.snh_comb,1.61481E-10,0.138312894,1,0.452113346
Chr02_95887139.FarmCPU.ray_floret_count_comb,1.32882E-09,0.92830399,0.946075674,0.489985146
Chr02_960816253.FarmCPU.rd_comb,5.54349E-08,0.221921559,0.011796829,0.59351074
Chr03_100970385.FarmCPU.rd_comb,3.86106E-12,0.233333179,0.012631512,0.557668861
Chr03_234249995.FarmCPU.ray_floret_count_al25,3.09254E-08,0.014021091,0.536595744,0.186443636
Chr03_256618987.BLINK.ray_floret_count_al25,4.48941E-13,7.04339E-06,0.299973523,0.001888248
Chr03_337313571.FarmCPU.sm_ks24,5.1487E-12,0.002885012,8.69351E-05,0.081344932
Chr03_457678.BLINK.snh_al25,2.17427E-16,5.82502E-07,0.000467393,0.035702067
Chr03_702124052.BLINK.ray_floret_count_ks25,2.46319E-12,0.143972904,0.126109715,0.721957503
Chr03_721440854.BLINK.ray_floret_count_al25,1.60791E-08,1.7722E-08,0.045810701,0.126017516
Chr03_721440854.FarmCPU.rd_ks25,3.00152E-08,0.000235726,0.046857353,0.813996825
Chr03_78530134.FarmCPU.hit_og,1.93344E-13,0.000141556,1.93344E-13,NA
Chr03_78530134.BLINK.hit_og,2.14615E-11,0.009912803,2.14615E-11,NA
Chr03_814672955.BLINK.ray_floret_count_ks25,1.12124E-10,0.000142304,0.107971636,0.004070742
Chr03_856961603.FarmCPU.hit_og,7.60883E-08,0.000164673,7.60883E-08,NA
Chr03_910576785.BLINK.snh_comb,9.04611E-08,0.298157721,0.013990379,0.646966685
Chr03_910576785.FarmCPU.snh_comb,7.13689E-09,0.12324112,0.070706738,0.333051944
Chr03_998822908.FarmCPU.sm_comb,2.18766E-08,0.001562783,0.018368532,0.000520858
Chr04_1010273843.BLINK.snh_comb,1.32203E-10,0.086096831,0.122918028,0.451827393
Chr04_108260603.FarmCPU.ray_floret_count_comb,2.56882E-08,1.58763E-08,0.252364132,0.602532679
Chr04_208177669.FarmCPU.rd_al25,1.76246E-09,0.435055305,0.000551479,0.364011658
Chr04_222292225.BLINK.ray_floret_count_ks25,3.72995E-15,0.039951279,0.372711338,3.58084E-05
Chr04_222292225.FarmCPU.ray_floret_count_ks25,1.15077E-08,0.873959089,0.458335126,0.000108073
Chr04_266394599.BLINK.ray_floret_count_ks24,3.88062E-18,0.00120787,0.669239864,0.092484095
