SNP_model_trait_env,MAF_full_population,MAF_S.integrifolium_genets,MAF_wild_genets,MAF_breeding_genets
Chr01_1030878591.BLINK.sm_comb,0.04310345,0.020100503,0.052197802,0
Chr01_1030878591.FarmCPU.sm_comb,0.04310345,0.020100503,0.052197802,0
Chr01_1168388528.BLINK.ray_floret_count_ks25,0.053398058,0.05,0.006134969,0.2375
Chr01_1205510446.BLINK.snh_al25,0.21134021,0.211656442,0.212328767,0.193181818
Chr01_1477798644.BLINK.sm_al24,0.01829268,0.01056338,0.024193548,0
Chr01_1571847442.BLINK.sm_comb,0.04741379,0.022613065,0.032967033,0.108695652
Chr01_1583902655.BLINK.ray_floret_count_comb,0.05217391,0.043147208,0.011173184,0.206521739
Chr01_1583902655.BLINK.ray_floret_count_ks24,0.05263158,0.04491018,0.006802721,0.207317073
Chr01_1583902655.FarmCPU.rd_al25,0.06185567,0.052147239,0.01369863,0.215909091
Chr01_1583902655.BLINK.snh_ks25,0.053030303,0.043604651,0.009493671,0.22972973
Chr01_1583902655.FarmCPU.snh_ks25,0.053030303,0.043604651,0.009493671,0.22972973
Chr01_1583902655.FarmCPU.ray_floret_count_comb,0.05217391,0.043147208,0.011173184,0.206521739
Chr01_1584149518.FarmCPU.rd_ks25,0.14321608,0.12716763,0.06918239,0.418918919
Chr01_1677500994.FarmCPU.ray_floret_count_al24,0.02197802,0.02739726,0,0.095238095
Chr01_1685558314.FarmCPU.ray_floret_count_ks24,0.010526316,0.011976048,0,0.048780488
Chr01_347199779.BLINK.hit_og,0.01639344,0.003205128,0.016393443,NA
Chr01_420787972.FarmCPU.snh_ks25,0.047979798,0.049418605,0.037974684,0.094594595
Chr01_695173749.BLINK.ray_floret_count_comb,0.04130435,0.040609137,0.011173184,0.141304348
Chr01_695173749.FarmCPU.snh_al25,0.04896907,0.049079755,0.01369863,0.147727273
Chr01_695173749.FarmCPU.ray_floret_count_comb,0.04130435,0.040609137,0.011173184,0.141304348
Chr01_81403261.FarmCPU.sm_comb,0.03663793,0.01758794,0.043956044,0.010869565
Chr01_853140105.FarmCPU.ray_floret_count_comb,0.38913043,0.436548223,0.349162011,0.47826087
Chr01_863723623.BLINK.sm_ks24,0.070707071,0.002923977,0.090909091,0
Chr01_930074952.FarmCPU.hit_og,0.03551913,0.032051282,0.035519126,NA
Chr02_10886302.FarmCPU.rd_al25,0.1056701,0.122699387,0.085616438,0.170454545
Chr02_1160355565.BLINK.rd_comb,0.191111111,0.1953125,0.147727273,0.355555556
Chr02_1160355565.FarmCPU.rd_comb,0.191111111,0.1953125,0.147727273,0.355555556
Chr02_1218052207.FarmCPU.snh_al25,0.01546392,0.018404908,0.010273973,0.034090909
Chr02_185928389.FarmCPU.sm_comb,0.04956897,0.057788945,0.06043956,0.010869565
Chr02_235811435.FarmCPU.ray_floret_count_ks24,0.042105263,0.047904192,0.037414966,0.06097561
Chr02_29844861.BLINK.ray_floret_count_ks25,0.024271845,0.025,0.015337423,0.05
