SNP_model_trait_env,N_full_population,N_S.integrifolium_genets,N_wild_genets,N_breeding_genets
Chr01_1030878591.BLINK.sm_comb,232,199,182,46
Chr01_1030878591.FarmCPU.sm_comb,232,199,182,46
Chr01_1168388528.BLINK.ray_floret_count_ks25,206,180,163,40
Chr01_1205510446.BLINK.snh_al25,194,163,146,44
Chr01_1477798644.BLINK.sm_al24,164,142,124,36
Chr01_1571847442.BLINK.sm_comb,232,199,182,46
Chr01_1583902655.BLINK.ray_floret_count_comb,230,197,179,46
Chr01_1583902655.BLINK.ray_floret_count_ks24,190,167,147,41
Chr01_1583902655.FarmCPU.rd_al25,194,163,146,44
Chr01_1583902655.BLINK.snh_ks25,198,172,158,37
Chr01_1583902655.FarmCPU.snh_ks25,198,172,158,37
Chr01_1583902655.FarmCPU.ray_floret_count_comb,230,197,179,46
Chr01_1584149518.FarmCPU.rd_ks25,199,173,159,37
Chr01_1677500994.FarmCPU.ray_floret_count_al24,91,73,69,21
Chr01_1685558314.FarmCPU.ray_floret_count_ks24,190,167,147,41
Chr01_347199779.BLINK.hit_og,183,156,183,NA
Chr01_420787972.FarmCPU.snh_ks25,198,172,158,37
Chr01_695173749.BLINK.ray_floret_count_comb,230,197,179,46
Chr01_695173749.FarmCPU.snh_al25,194,163,146,44
Chr01_695173749.FarmCPU.ray_floret_count_comb,230,197,179,46
Chr01_81403261.FarmCPU.sm_comb,232,199,182,46
Chr01_853140105.FarmCPU.ray_floret_count_comb,230,197,179,46
Chr01_863723623.BLINK.sm_ks24,198,171,154,41
Chr01_930074952.FarmCPU.hit_og,183,156,183,NA
Chr02_10886302.FarmCPU.rd_al25,194,163,146,44
Chr02_1160355565.BLINK.rd_comb,225,192,176,45
Chr02_1160355565.FarmCPU.rd_comb,225,192,176,45
Chr02_1218052207.FarmCPU.snh_al25,194,163,146,44
Chr02_185928389.FarmCPU.sm_comb,232,199,182,46
Chr02_235811435.FarmCPU.ray_floret_count_ks24,190,167,147,41
Chr02_29844861.BLINK.ray_floret_count_ks25,206,180,163,40
Chr02_8270811.BLINK.hit_og,183,156,183,NA
Chr02_892024560.FarmCPU.ai_summer_mean,183,156,183,NA
Chr02_943391404.FarmCPU.snh_comb,225,192,176,45
Chr02_95887139.FarmCPU.ray_floret_count_comb,230,197,179,46
Chr02_960816253.FarmCPU.rd_comb,225,192,176,45
Chr03_100970385.FarmCPU.rd_comb,225,192,176,45
