SNP_model_trait_env,MAF_full_population,MAF_S.integrifolium_genets,MAF_wild_genets,MAF_breeding_genets
Chr01_1583902655.BLINK.RFC_comb,0.05217391,0.043147208,0.011173184,0.206521739
Chr01_1583902655.BLINK.RFC_ks24,0.05263158,0.04491018,0.006802721,0.207317073
Chr01_1583902655.FarmCPU.RD_al25,0.06185567,0.052147239,0.01369863,0.215909091
Chr01_1583902655.BLINK.SNC_ks25,0.053030303,0.043604651,0.009493671,0.22972973
Chr01_1583902655.FarmCPU.SNC_ks25,0.053030303,0.043604651,0.009493671,0.22972973
Chr01_1583902655.FarmCPU.RFC_comb,0.05217391,0.043147208,0.011173184,0.206521739
Chr01_695173749.BLINK.RFC_comb,0.04130435,0.040609137,0.011173184,0.141304348
Chr01_695173749.FarmCPU.SNC_al25,0.04896907,0.049079755,0.01369863,0.147727273
Chr01_695173749.FarmCPU.RFC_comb,0.04130435,0.040609137,0.011173184,0.141304348
Chr03_721440854.BLINK.RFC_al25,0.17091837,0.181818182,0.047619048,0.477272727
Chr03_721440854.FarmCPU.RD_ks25,0.15829146,0.167630058,0.047169811,0.418918919
Chr04_222292225.BLINK.RFC_ks25,0.031553398,0.036111111,0.009202454,0.0875
Chr04_222292225.FarmCPU.RFC_ks25,0.0315534,0.036111111,0.009202454,0.0875
