SNP_model_trait_env,p.value_full_population,p.value_S.integrifolium_genets,p.value_wild_genets,p.value_breeding_genets
Chr01_1583902655.BLINK.RFC_comb,5.53862E-09,3.61259E-10,0.19560875,0.840274249
Chr01_1583902655.BLINK.RFC_ks24,1.8178E-15,0.021117879,0.674126826,0.009131438
Chr01_1583902655.FarmCPU.RD_al25,3.84037E-10,0.037095957,0.110348846,0.008779596
Chr01_1583902655.BLINK.SNC_ks25,2.28687E-08,0.470428552,0.23716083,0.190380042
Chr01_1583902655.FarmCPU.SNC_ks25,4.86223E-08,0.000233689,0.026186817,0.000427479
Chr01_1583902655.FarmCPU.RFC_comb,3.98176E-08,8.27133E-12,0.969627214,0.755305196
Chr01_695173749.BLINK.RFC_comb,4.22848E-10,0.059973231,0.534251933,0.729802325
Chr01_695173749.FarmCPU.SNC_al25,4.17964E-12,1.70844E-33,0.385391426,0.562684785
Chr01_695173749.FarmCPU.RFC_comb,9.81729E-14,0.854282284,0.407186398,0.07828896
Chr03_721440854.BLINK.RFC_al25,1.60791E-08,1.7722E-08,0.045810701,0.126017516
Chr03_721440854.FarmCPU.RD_ks25,3.00152E-08,0.000235726,0.046857353,0.813996825
Chr04_222292225.BLINK.RFC_ks25,3.72995E-15,0.039951279,0.372711338,3.58084E-05
Chr04_222292225.FarmCPU.RFC_ks25,1.15077E-08,0.873959089,0.458335126,0.000108073
