SNP_model_trait_env,N_full_population,N_S.integrifolium_genets,N_wild_genets,N_breeding_genets
Chr01_1583902655.BLINK.RFC_comb,230,197,179,46
Chr01_1583902655.BLINK.RFC_ks24,190,167,147,41
Chr01_1583902655.FarmCPU.RD_al25,194,163,146,44
Chr01_1583902655.BLINK.SNC_ks25,198,172,158,37
Chr01_1583902655.FarmCPU.SNC_ks25,198,172,158,37
Chr01_1583902655.FarmCPU.RFC_comb,230,197,179,46
Chr01_695173749.BLINK.RFC_comb,230,197,179,46
Chr01_695173749.FarmCPU.SNC_al25,194,163,146,44
Chr01_695173749.FarmCPU.RFC_comb,230,197,179,46
Chr03_721440854.BLINK.RFC_al25,196,165,147,44
Chr03_721440854.FarmCPU.RD_ks25,199,173,159,37
Chr04_222292225.BLINK.RFC_ks25,206,180,163,40
Chr04_222292225.FarmCPU.RFC_ks25,206,180,163,40
